STATION,STATION_NAME,DATE,TMAX,TMIN
GHCND:USC00182325,DALECARLIA RESERVOIR DC US,19990121,48,34
GHCND:USC00182325,DALECARLIA RESERVOIR DC US,19990122,72,38
GHCND:USC00182325,DALECARLIA RESERVOIR DC US,19990123,72,38
GHCND:USC00182325,DALECARLIA RESERVOIR DC US,19990124,69,49
GHCND:USC00182325,DALECARLIA RESERVOIR DC US,19990125,50,32
GHCND:USC00182325,DALECARLIA RESERVOIR DC US,19990126,52,31
GHCND:USC00182325,DALECARLIA RESERVOIR DC US,19990127,56,29
GHCND:USC00182325,DALECARLIA RESERVOIR DC US,19990128,69,50
GHCND:USC00182325,DALECARLIA RESERVOIR DC US,19990129,60,36
GHCND:USC00182325,DALECARLIA RESERVOIR DC US,19990130,49,45
GHCND:USC00182325,DALECARLIA RESERVOIR DC US,19990131,46,21
GHCND:USC00182325,DALECARLIA RESERVOIR DC US,19990201,38,21
GHCND:USC00182325,DALECARLIA RESERVOIR DC US,19990202,52,35
GHCND:USC00182325,DALECARLIA RESERVOIR DC US,19990203,58,40
GHCND:USC00182325,DALECARLIA RESERVOIR DC US,19990204,57,39
GHCND:USC00182325,DALECARLIA RESERVOIR DC US,19990205,52,38
GHCND:USC00182325,DALECARLIA RESERVOIR DC US,19990206,55,36
GHCND:USC00182325,DALECARLIA RESERVOIR DC US,19990207,55,28
GHCND:USC00182325,DALECARLIA RESERVOIR DC US,19990208,49,37
GHCND:USC00182325,DALECARLIA RESERVOIR DC US,19990209,56,45
GHCND:USC00182325,DALECARLIA RESERVOIR DC US,19990210,58,38
GHCND:USC00182325,DALECARLIA RESERVOIR DC US,19990211,66,54
GHCND:USC00182325,DALECARLIA RESERVOIR DC US,19990212,75,33
GHCND:USC00182325,DALECARLIA RESERVOIR DC US,19990213,47,27
GHCND:USC00182325,DALECARLIA RESERVOIR DC US,19990214,42,26
GHCND:USC00182325,DALECARLIA RESERVOIR DC US,19990215,52,22
GHCND:USC00182325,DALECARLIA RESERVOIR DC US,19990216,65,26
GHCND:USC00182325,DALECARLIA RESERVOIR DC US,19990217,62,36
GHCND:USC00182325,DALECARLIA RESERVOIR DC US,19990218,57,40
GHCND:USC00182325,DALECARLIA RESERVOIR DC US,19990219,45,42
GHCND:USC00182325,DALECARLIA RESERVOIR DC US,19990220,43,29
GHCND:USC00182325,DALECARLIA RESERVOIR DC US,19990221,41,23
GHCND:USC00182325,DALECARLIA RESERVOIR DC US,19990222,33,21
GHCND:USC00182325,DALECARLIA RESERVOIR DC US,19990223,30,19
GHCND:USC00182325,DALECARLIA RESERVOIR DC US,19990224,41,19
GHCND:USC00182325,DALECARLIA RESERVOIR DC US,19990225,38,23
GHCND:USC00182325,DALECARLIA RESERVOIR DC US,19990226,47,29
GHCND:USC00182325,DALECARLIA RESERVOIR DC US,19990227,54,40
GHCND:USC00182325,DALECARLIA RESERVOIR DC US,19990228,50,40
GHCND:USC00182325,DALECARLIA RESERVOIR DC US,19990301,49,33
GHCND:USC00182325,DALECARLIA RESERVOIR DC US,19990302,58,45
GHCND:USC00182325,DALECARLIA RESERVOIR DC US,19990303,71,23
GHCND:USC00182325,DALECARLIA RESERVOIR DC US,19990304,61,28
GHCND:USC00182325,DALECARLIA RESERVOIR DC US,19990305,50,29
GHCND:USC00182325,DALECARLIA RESERVOIR DC US,19990306,56,28
GHCND:USC00182325,DALECARLIA RESERVOIR DC US,19990307,57,22
GHCND:USC00182325,DALECARLIA RESERVOIR DC US,19990308,39,17
GHCND:USC00182325,DALECARLIA RESERVOIR DC US,19990309,36,16
GHCND:USC00182325,DALECARLIA RESERVOIR DC US,19990310,41,24
GHCND:USC00182325,DALECARLIA RESERVOIR DC US,19990311,42,31
GHCND:USC00182325,DALECARLIA RESERVOIR DC US,19990312,45,28
GHCND:USC00182325,DALECARLIA RESERVOIR DC US,19990313,48,31
GHCND:USC00182325,DALECARLIA RESERVOIR DC US,19990314,46,33
GHCND:USC00182325,DALECARLIA RESERVOIR DC US,19990315,46,24
GHCND:USC00182325,DALECARLIA RESERVOIR DC US,19990316,57,30
GHCND:USC00182325,DALECARLIA RESERVOIR DC US,19990317,77,33
GHCND:USC00182325,DALECARLIA RESERVOIR DC US,19990318,76,44
GHCND:USC00182325,DALECARLIA RESERVOIR DC US,19990319,59,41
GHCND:USC00182325,DALECARLIA RESERVOIR DC US,19990320,56,29
GHCND:USC00182325,DALECARLIA RESERVOIR DC US,19990321,54,39
GHCND:USC00182325,DALECARLIA RESERVOIR DC US,19990322,52,37
GHCND:USC00182325,DALECARLIA RESERVOIR DC US,19990323,56,43
GHCND:USC00182325,DALECARLIA RESERVOIR DC US,19990324,59,43
GHCND:USC00182325,DALECARLIA RESERVOIR DC US,19990325,54,41
GHCND:USC00182325,DALECARLIA RESERVOIR DC US,19990326,52,32
GHCND:USC00182325,DALECARLIA RESERVOIR DC US,19990327,51,33
GHCND:USC00182325,DALECARLIA RESERVOIR DC US,19990328,60,41
GHCND:USC00182325,DALECARLIA RESERVOIR DC US,19990329,71,34
GHCND:USC00182325,DALECARLIA RESERVOIR DC US,19990330,67,34
GHCND:USC00182325,DALECARLIA RESERVOIR DC US,19990331,74,59
GHCND:USC00182325,DALECARLIA RESERVOIR DC US,19990401,69,50
GHCND:USC00182325,DALECARLIA RESERVOIR DC US,19990402,73,60
GHCND:USC00182325,DALECARLIA RESERVOIR DC US,19990403,74,49
GHCND:USC00182325,DALECARLIA RESERVOIR DC US,19990404,81,57
GHCND:USC00182325,DALECARLIA RESERVOIR DC US,19990405,68,44
GHCND:USC00182325,DALECARLIA RESERVOIR DC US,19990406,66,35
GHCND:USC00182325,DALECARLIA RESERVOIR DC US,19990407,75,47
GHCND:USC00182325,DALECARLIA RESERVOIR DC US,19990408,87,44
GHCND:USC00182325,DALECARLIA RESERVOIR DC US,19990409,86,55
GHCND:USC00182325,DALECARLIA RESERVOIR DC US,19990410,61,44
GHCND:USC00182325,DALECARLIA RESERVOIR DC US,19990411,66,38
GHCND:USC00182325,DALECARLIA RESERVOIR DC US,19990412,55,41
GHCND:USC00182325,DALECARLIA RESERVOIR DC US,19990413,63,52
GHCND:USC00182325,DALECARLIA RESERVOIR DC US,19990414,70,59
GHCND:USC00182325,DALECARLIA RESERVOIR DC US,19990415,79,42
GHCND:USC00182325,DALECARLIA RESERVOIR DC US,19990416,70,44
GHCND:USC00182325,DALECARLIA RESERVOIR DC US,19990417,68,37
GHCND:USC00182325,DALECARLIA RESERVOIR DC US,19990418,61,41
GHCND:USC00182325,DALECARLIA RESERVOIR DC US,19990419,61,36
GHCND:USC00182325,DALECARLIA RESERVOIR DC US,19990420,61,48
GHCND:USC00182325,DALECARLIA RESERVOIR DC US,19990421,59,36
GHCND:USC00182325,DALECARLIA RESERVOIR DC US,19990422,83,73
GHCND:USC00182325,DALECARLIA RESERVOIR DC US,19990423,83,68
GHCND:USC00182325,DALECARLIA RESERVOIR DC US,19990424,84,38
GHCND:USC00182325,DALECARLIA RESERVOIR DC US,19990425,64,54
GHCND:USC00182325,DALECARLIA RESERVOIR DC US,19990426,80,38
GHCND:USC00182325,DALECARLIA RESERVOIR DC US,19990427,78,47
GHCND:USC00182325,DALECARLIA RESERVOIR DC US,19990428,69,48
GHCND:USC00182325,DALECARLIA RESERVOIR DC US,19990429,68,40
GHCND:USC00182325,DALECARLIA RESERVOIR DC US,19990430,68,56
GHCND:USC00182325,DALECARLIA RESERVOIR DC US,19990501,67,40
GHCND:USC00182325,DALECARLIA RESERVOIR DC US,19990502,70,41
GHCND:USC00182325,DALECARLIA RESERVOIR DC US,19990503,63,42
GHCND:USC00182325,DALECARLIA RESERVOIR DC US,19990504,78,51
GHCND:USC00182325,DALECARLIA RESERVOIR DC US,19990505,79,53
GHCND:USC00182325,DALECARLIA RESERVOIR DC US,19990506,76,56
GHCND:USC00182325,DALECARLIA RESERVOIR DC US,19990507,78,58
GHCND:USC00182325,DALECARLIA RESERVOIR DC US,19990508,79,61
GHCND:USC00182325,DALECARLIA RESERVOIR DC US,19990509,79,58
GHCND:USC00182325,DALECARLIA RESERVOIR DC US,19990510,78,67
GHCND:USC00182325,DALECARLIA RESERVOIR DC US,19990511,80,48
GHCND:USC00182325,DALECARLIA RESERVOIR DC US,19990512,85,76
GHCND:USC00182325,DALECARLIA RESERVOIR DC US,19990513,85,62
GHCND:USC00182325,DALECARLIA RESERVOIR DC US,19990514,70,56
